input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Amit bought a new book from the market.,అమిత్ మార్కెట్ నుండి కొత్త పుస్తకం కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Aditya lost her wallet. Aditya became very worried.,ఆదిత్య తన పర్స్‌ను పోగొట్టుకుంది. ఆదిత్య చాలా ఆందోళన చెందింది.,No text provided,0.0,0.0,0.0
Ananya visited the park in the evening.,అనన్య సాయంత్రం పార్క్‌కి వెళ్లాడు.,No text provided,0.0,0.0,0.0
Pooja bought a new wallet from the market.,పూజా మార్కెట్ నుండి కొత్త పర్స్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Rohan bought a new wallet from the market.,రోహన్ మార్కెట్ నుండి కొత్త పర్స్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Arnab bought a new laptop from the market.,అర్నబ్ మార్కెట్ నుండి కొత్త ల్యాప్‌టాప్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Priya bought a new bag from the market.,ప్రియా మార్కెట్ నుండి కొత్త బ్యాగ్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
"Vikram said, 'It is raining cats and dogs outside.'","విక్రమ్ చెప్పాడు, 'బయట భారీగా వర్షం పడుతోంది.'",No text provided,0.0,0.0,0.0
Priya visited the park in the evening.,ప్రియా సాయంత్రం పార్క్‌కి వెళ్లాడు.,No text provided,0.0,0.0,0.0
Ananya felt scared after hearing the loud noise.,అనన్య పెద్ద శబ్దం విని భయపడ్డాడు.,No text provided,0.0,0.0,0.0
Ananya bought a new book from the market.,అనన్య మార్కెట్ నుండి కొత్త పుస్తకం కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Sourav lost her wallet. Sourav became very worried.,సౌరవ్ తన పర్స్‌ను పోగొట్టుకుంది. సౌరవ్ చాలా ఆందోళన చెందింది.,No text provided,0.0,0.0,0.0
Arnab visited the park in the evening.,అర్నబ్ సాయంత్రం పార్క్‌కి వెళ్లాడు.,No text provided,0.0,0.0,0.0
Pooja bought a new laptop from the market.,పూజా మార్కెట్ నుండి కొత్త ల్యాప్‌టాప్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Arnab lost her wallet. Arnab became very worried.,అర్నబ్ తన పర్స్‌ను పోగొట్టుకుంది. అర్నబ్ చాలా ఆందోళన చెందింది.,No text provided,0.0,0.0,0.0
Priya lost her wallet. Priya became very worried.,ప్రియా తన పర్స్‌ను పోగొట్టుకుంది. ప్రియా చాలా ఆందోళన చెందింది.,No text provided,0.0,0.0,0.0
Amit lost her wallet. Amit became very worried.,అమిత్ తన పర్స్‌ను పోగొట్టుకుంది. అమిత్ చాలా ఆందోళన చెందింది.,No text provided,0.0,0.0,0.0
Pooja could not attend the party because Pooja was not feeling well.,పూజా ఆరోగ్యం బాగోలేక పార్టీకి హాజరు కాలేకపోయాడు.,No text provided,0.0,0.0,0.0
Sneha visited the park in the evening.,స్నేహా సాయంత్రం పార్క్‌కి వెళ్లాడు.,No text provided,0.0,0.0,0.0
Karan bought a new laptop from the market.,కరణ్ మార్కెట్ నుండి కొత్త ల్యాప్‌టాప్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Arnab bought a new wallet from the market.,అర్నబ్ మార్కెట్ నుండి కొత్త పర్స్ కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Sneha visited the park in the evening.,స్నేహా సాయంత్రం పార్క్‌కి వెళ్లాడు.,No text provided,0.0,0.0,0.0
Arnab visited the park in the evening.,అర్నబ్ సాయంత్రం పార్క్‌కి వెళ్లాడు.,No text provided,0.0,0.0,0.0
Kavya bought a new book from the market.,కావ్య మార్కెట్ నుండి కొత్త పుస్తకం కొనుగోలు చేశాడు.,No text provided,0.0,0.0,0.0
Neha went to school. Neha was very happy.,నేహా పాఠశాలకు వెళ్లాడు. నేహా చాలా సంతోషంగా ఉన్నాడు.,No text provided,0.0,0.0,0.0
