index,original,resolved,passed
0,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
1,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
2,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
3,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
4,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
5,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
6,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
7,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
8,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
9,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
10,Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True
11,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
12,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
13,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
14,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
15,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
16,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
17,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
18,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
19,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
20,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
21,Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True
22,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
23,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
24,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
25,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
26,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
27,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
28,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
29,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
30,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
31,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
32,Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True
33,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
34,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
35,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
36,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
37,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
38,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
39,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
40,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
41,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
42,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
43,Meena cooked rice. She served it hot.,Meena cooked rice. Meena served it hot.,True
44,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
45,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
46,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
47,The boy fell down. He hurt his knee.,The boy fell down. The boy hurt the boy's knee.,True
