input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
"Riya said, 'It is raining cats and dogs outside.'","ரியா கூறினார், 'வெளியில் மிக கனமழை பெய்கிறது।'",No text provided,0.0,0.0,0.0
the students visited the zoo. the students enjoyed watching the animals.,மாணவர்கள் உயிரியல் பூங்காவிற்கு சென்றனர்। மாணவர்கள் விலங்குகளை பார்த்து மகிழ்ந்தனர்।,No text provided,0.0,0.0,0.0
Pooja bought a new laptop from the market.,பூஜா சந்தையில் இருந்து புதிய மடிக்கணினி வாங்கினார்।,No text provided,0.0,0.0,0.0
Priya heard the good news and smiled with joy.,ப்ரியா நல்ல செய்தியை கேட்டு மகிழ்ச்சியுடன் சிரித்தார்।,No text provided,0.0,0.0,0.0
Rahul felt scared after hearing the loud noise.,ராகுல் பெரிய சத்தத்தை கேட்டு பயந்தார்।,No text provided,0.0,0.0,0.0
Sourav bought a new wallet from the market.,சௌரவ் சந்தையில் இருந்து புதிய பணப்பை வாங்கினார்।,No text provided,0.0,0.0,0.0
Karan went to school. Karan was very happy.,கரண் பள்ளிக்கு சென்றார்। கரண் மிகவும் மகிழ்ச்சியாக இருந்தார்।,No text provided,0.0,0.0,0.0
Meera bought a new book from the market.,மீரா சந்தையில் இருந்து புதிய புத்தகம் வாங்கினார்।,No text provided,0.0,0.0,0.0
Pooja bought a new phone from the market.,பூஜா சந்தையில் இருந்து புதிய தொலைபேசி வாங்கினார்।,No text provided,0.0,0.0,0.0
Kavya adopted a cat. The cat followed Kavya everywhere.,காவ்யா ஒரு பூனையை தத்தெடுத்தார்। அந்த பூனை காவ்யாவை எங்கும் பின்தொடர்ந்தது।,No text provided,0.0,0.0,0.0
the workers visited the zoo. the workers enjoyed watching the animals.,தொழிலாளர்கள் உயிரியல் பூங்காவிற்கு சென்றனர்। தொழிலாளர்கள் விலங்குகளை பார்த்து மகிழ்ந்தனர்।,No text provided,0.0,0.0,0.0
Aditya went to school. Aditya was very happy.,ஆதித்யா பள்ளிக்கு சென்றார்। ஆதித்யா மிகவும் மகிழ்ச்சியாக இருந்தார்।,No text provided,0.0,0.0,0.0
Rahul bought a new phone from the market.,ராகுல் சந்தையில் இருந்து புதிய தொலைபேசி வாங்கினார்।,No text provided,0.0,0.0,0.0
Vikram felt scared after hearing the loud noise.,விக்ரம் பெரிய சத்தத்தை கேட்டு பயந்தார்।,No text provided,0.0,0.0,0.0
Ananya bought a new laptop from the market.,அனன்யா சந்தையில் இருந்து புதிய மடிக்கணினி வாங்கினார்।,No text provided,0.0,0.0,0.0
the children visited the zoo. the children enjoyed watching the animals.,குழந்தைகள் உயிரியல் பூங்காவிற்கு சென்றனர்। குழந்தைகள் விலங்குகளை பார்த்து மகிழ்ந்தனர்।,No text provided,0.0,0.0,0.0
Ananya lost her wallet. Ananya became very worried.,அனன்யா தனது பணப்பையை இழந்தார்। அனன்யா மிகவும் கவலைப்பட்டார்।,No text provided,0.0,0.0,0.0
Amit became angry when the bus arrived late.,அமித் பேருந்து தாமதமாக வந்ததால் கோபமடைந்தார்।,No text provided,0.0,0.0,0.0
Karan visited the park in the evening.,கரண் மாலையில் பூங்காவிற்கு சென்றார்।,No text provided,0.0,0.0,0.0
Sneha lost her wallet. Sneha became very worried.,ஸ்நேஹா தனது பணப்பையை இழந்தார்। ஸ்நேஹா மிகவும் கவலைப்பட்டார்।,No text provided,0.0,0.0,0.0
Vikram visited the park in the evening.,விக்ரம் மாலையில் பூங்காவிற்கு சென்றார்।,No text provided,0.0,0.0,0.0
Aditya could not attend the party because Aditya was not feeling well.,ஆதித்யா உடல்நலம் சரியில்லாததால் விழாவில் கலந்து கொள்ள முடியவில்லை।,No text provided,0.0,0.0,0.0
