input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Kavya could not attend the party because Kavya was not feeling well.,ಕಾವ್ಯಾ ಆರೋಗ್ಯ ಸರಿಯಾಗಿರದ ಕಾರಣ ಪಾರ್ಟಿಗೆ ಹೋಗಲಿಲ್ಲ.,No text provided,0.0,0.0,0.0
Arnab adopted a dog. The dog followed Arnab everywhere.,ಅರ್ಣಬ್ ಒಂದು ನಾಯಿವನ್ನು ದತ್ತು ಪಡೆದರು. ಆ ನಾಯಿ ಅರ್ಣಬ್ ಅವರನ್ನು ಎಲ್ಲೆಡೆ ಹಿಂಬಾಲಿಸಿತು.,No text provided,0.0,0.0,0.0
Priya bought a new bag from the market.,ಪ್ರಿಯಾ ಮಾರುಕಟ್ಟೆಯಿಂದ ಹೊಸ ಚೀಲ ಖರೀದಿಸಿದರು.,No text provided,0.0,0.0,0.0
Arnab visited the park in the evening.,ಅರ್ಣಬ್ ಸಂಜೆ ಉದ್ಯಾನವನಕ್ಕೆ ಹೋದರು.,No text provided,0.0,0.0,0.0
Kavya felt scared after hearing the loud noise.,ಕಾವ್ಯಾ ದೊಡ್ಡ ಶಬ್ದವನ್ನು ಕೇಳಿ ಭಯಪಟ್ಟರು.,No text provided,0.0,0.0,0.0
Meera bought a new bag from the market.,ಮೀರಾ ಮಾರುಕಟ್ಟೆಯಿಂದ ಹೊಸ ಚೀಲ ಖರೀದಿಸಿದರು.,No text provided,0.0,0.0,0.0
the students visited the zoo. the students enjoyed watching the animals.,ವಿದ್ಯಾರ್ಥಿಗಳು ಪ್ರಾಣಿ ಉದ್ಯಾನವನಕ್ಕೆ ಹೋದರು. ವಿದ್ಯಾರ್ಥಿಗಳು ಪ್ರಾಣಿಗಳನ್ನು ನೋಡಿ ಸಂತೋಷಪಟ್ಟರು.,No text provided,0.0,0.0,0.0
Karan bought a new book from the market.,ಕರಣ್ ಮಾರುಕಟ್ಟೆಯಿಂದ ಹೊಸ ಪುಸ್ತಕ ಖರೀದಿಸಿದರು.,No text provided,0.0,0.0,0.0
Arnab visited the park in the evening.,ಅರ್ಣಬ್ ಸಂಜೆ ಉದ್ಯಾನವನಕ್ಕೆ ಹೋದರು.,No text provided,0.0,0.0,0.0
Pooja adopted a cat. The cat followed Pooja everywhere.,ಪೂಜಾ ಒಂದು ಬೆಕ್ಕುವನ್ನು ದತ್ತು ಪಡೆದರು. ಆ ಬೆಕ್ಕು ಪೂಜಾ ಅವರನ್ನು ಎಲ್ಲೆಡೆ ಹಿಂಬಾಲಿಸಿತು.,No text provided,0.0,0.0,0.0
Vikram bought a new bag from the market.,ವಿಕ್ರಮ್ ಮಾರುಕಟ್ಟೆಯಿಂದ ಹೊಸ ಚೀಲ ಖರೀದಿಸಿದರು.,No text provided,0.0,0.0,0.0
Vikram could not attend the party because Vikram was not feeling well.,ವಿಕ್ರಮ್ ಆರೋಗ್ಯ ಸರಿಯಾಗಿರದ ಕಾರಣ ಪಾರ್ಟಿಗೆ ಹೋಗಲಿಲ್ಲ.,No text provided,0.0,0.0,0.0
