input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Kavya bought a new book from the market.,କାବ୍ୟା ବଜାରରୁ ନୂଆ ପୁସ୍ତକ କିଣିଲେ।,No text provided,0.0,0.0,0.0
the children visited the zoo. the children enjoyed watching the animals.,ପିଲାମାନେ ଚିଡ଼ିଆଖାନାକୁ ଯାଇଥିଲେ। ପିଲାମାନେ ପଶୁମାନଙ୍କୁ ଦେଖି ଆନନ୍ଦ ପାଇଥିଲେ।,No text provided,0.0,0.0,0.0
Arnab heard the good news and smiled with joy.,ଅର୍ଣ୍ଣବ ଭଲ ଖବର ଶୁଣି ଖୁସିରେ ହସିଲେ।,No text provided,0.0,0.0,0.0
"Ananya said, 'It is raining cats and dogs outside.'","ଅନନ୍ୟା କହିଲେ, 'ବାହାରେ ଭୟଙ୍କର ବର୍ଷା ହେଉଛି।'",No text provided,0.0,0.0,0.0
Sneha adopted a rabbit. The rabbit followed Sneha everywhere.,ସ୍ନେହା ଗୋଟିଏ ଖରଗୋଶକୁ ଦତକ ନେଇଥିଲେ। ସେହି ଖରଗୋଶଟି ସ୍ନେହାଙ୍କୁ ସବୁଠାରେ ଅନୁସରଣ କରୁଥିଲା।,No text provided,0.0,0.0,0.0
Neha felt scared after hearing the loud noise.,ନେହା ବଡ଼ ଶବ୍ଦ ଶୁଣି ଭୟଭୀତ ହୋଇପଡ଼ିଲେ।,No text provided,0.0,0.0,0.0
Meera adopted a parrot. The parrot followed Meera everywhere.,ମୀରା ଗୋଟିଏ ଟିଆକୁ ଦତକ ନେଇଥିଲେ। ସେହି ଟିଆଟି ମୀରାଙ୍କୁ ସବୁଠାରେ ଅନୁସରଣ କରୁଥିଲା।,No text provided,0.0,0.0,0.0
Kavya visited the park in the evening.,କାବ୍ୟା ସନ୍ଧ୍ୟାରେ ପାର୍କକୁ ଯାଇଥିଲେ।,No text provided,0.0,0.0,0.0
Rohan adopted a rabbit. The rabbit followed Rohan everywhere.,ରୋହନ ଗୋଟିଏ ଖରଗୋଶକୁ ଦତକ ନେଇଥିଲେ। ସେହି ଖରଗୋଶଟି ରୋହନଙ୍କୁ ସବୁଠାରେ ଅନୁସରଣ କରୁଥିଲା।,No text provided,0.0,0.0,0.0
Vikram visited the park in the evening.,ବିକ୍ରମ ସନ୍ଧ୍ୟାରେ ପାର୍କକୁ ଯାଇଥିଲେ।,No text provided,0.0,0.0,0.0
