input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Sneha felt scared after hearing the loud noise.,સ્નેહા મોટો અવાજ સાંભળીને ડરી ગયો.,No text provided,0.0,0.0,0.0
Sneha visited the park in the evening.,સ્નેહા સાંજે બગીચામાં ગયો.,No text provided,0.0,0.0,0.0
Rahul visited the park in the evening.,રાહુલ સાંજે બગીચામાં ગયો.,No text provided,0.0,0.0,0.0
Karan could not attend the party because Karan was not feeling well.,કરણ ની તબિયત સારી ન હોવાથી પાર્ટીમાં જઈ શક્યો નહીં.,No text provided,0.0,0.0,0.0
Rohan adopted a dog. The dog followed Rohan everywhere.,રોહન એ એક કૂતરો દત્તક લીધો. તે રોહન ના પાછળ દરેક જગ્યાએ ફરતું હતું.,No text provided,0.0,0.0,0.0
Kavya bought a new wallet from the market.,કાવ્યા બજારમાંથી નવું પર્સ ખરીદ્યું.,No text provided,0.0,0.0,0.0
"Kavya said, 'It is raining cats and dogs outside.'","કાવ્યા એ કહ્યું, 'બહાર ભારે વરસાદ પડી રહ્યો છે.'",No text provided,0.0,0.0,0.0
the friends visited the zoo. the friends enjoyed watching the animals.,મિત્રો પ્રાણી સંગ્રહાલયમાં ગયા. મિત્રો એ પ્રાણીઓને જોઈને આનંદ લીધો.,No text provided,0.0,0.0,0.0
"Neha said, 'It is raining cats and dogs outside.'","નેહા એ કહ્યું, 'બહાર ભારે વરસાદ પડી રહ્યો છે.'",No text provided,0.0,0.0,0.0
Rohan visited the park in the evening.,રોહન સાંજે બગીચામાં ગયો.,No text provided,0.0,0.0,0.0
Aditya felt scared after hearing the loud noise.,આદિત્ય મોટો અવાજ સાંભળીને ડરી ગયો.,No text provided,0.0,0.0,0.0
Ananya visited the park in the evening.,અનન્યા સાંજે બગીચામાં ગયો.,No text provided,0.0,0.0,0.0
Karan went to school. Karan was very happy.,કરણ શાળાએ ગયો. કરણ ખૂબ ખુશ હતો.,No text provided,0.0,0.0,0.0
Priya visited the park in the evening.,પ્રિયા સાંજે બગીચામાં ગયો.,No text provided,0.0,0.0,0.0
Sneha went to school. Sneha was very happy.,સ્નેહા શાળાએ ગયો. સ્નેહા ખૂબ ખુશ હતો.,No text provided,0.0,0.0,0.0
Sourav went to school. Sourav was very happy.,સૌરવ શાળાએ ગયો. સૌરવ ખૂબ ખુશ હતો.,No text provided,0.0,0.0,0.0
Arnab visited the park in the evening.,અર્ણબ સાંજે બગીચામાં ગયો.,No text provided,0.0,0.0,0.0
"Ananya said, 'It is raining cats and dogs outside.'","અનન્યા એ કહ્યું, 'બહાર ભારે વરસાદ પડી રહ્યો છે.'",No text provided,0.0,0.0,0.0
Kavya went to school. Kavya was very happy.,કાવ્યા શાળાએ ગયો. કાવ્યા ખૂબ ખુશ હતો.,No text provided,0.0,0.0,0.0
Vikram lost her wallet. Vikram became very worried.,વિક્રમ નો પર્સ ખોવાઈ ગયો. વિક્રમ ખૂબ ચિંતિત થઈ ગઈ.,No text provided,0.0,0.0,0.0
Meera bought a new laptop from the market.,મીરા બજારમાંથી નવું લેપટોપ ખરીદ્યું.,No text provided,0.0,0.0,0.0
Riya lost her wallet. Riya became very worried.,રિયા નો પર્સ ખોવાઈ ગયો. રિયા ખૂબ ચિંતિત થઈ ગઈ.,No text provided,0.0,0.0,0.0
Kavya felt scared after hearing the loud noise.,કાવ્યા મોટો અવાજ સાંભળીને ડરી ગયો.,No text provided,0.0,0.0,0.0
Kavya bought a new laptop from the market.,કાવ્યા બજારમાંથી નવું લેપટોપ ખરીદ્યું.,No text provided,0.0,0.0,0.0
Ananya bought a new laptop from the market.,અનન્યા બજારમાંથી નવું લેપટોપ ખરીદ્યું.,No text provided,0.0,0.0,0.0
Kavya bought a new laptop from the market.,કાવ્યા બજારમાંથી નવું લેપટોપ ખરીદ્યું.,No text provided,0.0,0.0,0.0
