input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Neha adopted a cat. The cat followed Neha everywhere.,ਨੇਹਾ ਨੇ ਇੱਕ ਬਿੱਲੀ ਗੋਦ ਲਿਆ। ਉਹ ਨੇਹਾ ਦੇ ਪਿੱਛੇ ਹਰ ਜਗ੍ਹਾ ਗਿਆ।,No text provided,0.0,0.0,0.0
"Sneha said, 'It is raining cats and dogs outside.'","ਸਨੇਹਾ ਨੇ ਕਿਹਾ, 'ਬਾਹਰ ਬਹੁਤ ਤੇਜ਼ ਮੀਂਹ ਪੈ ਰਿਹਾ ਹੈ।'",No text provided,0.0,0.0,0.0
Ananya became angry when the bus arrived late.,ਅਨਨਿਆ ਬੱਸ ਦੇ ਦੇਰ ਨਾਲ ਆਉਣ ਕਾਰਨ ਗੁੱਸੇ ਹੋ ਗਿਆ।,No text provided,0.0,0.0,0.0
Vikram adopted a dog. The dog followed Vikram everywhere.,ਵਿਕਰਮ ਨੇ ਇੱਕ ਕੁੱਤਾ ਗੋਦ ਲਿਆ। ਉਹ ਵਿਕਰਮ ਦੇ ਪਿੱਛੇ ਹਰ ਜਗ੍ਹਾ ਗਿਆ।,No text provided,0.0,0.0,0.0
Arnab visited the park in the evening.,ਅਰਨਬ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Sourav felt scared after hearing the loud noise.,ਸੌਰਵ ਉੱਚੀ ਆਵਾਜ਼ ਸੁਣ ਕੇ ਡਰ ਗਿਆ।,No text provided,0.0,0.0,0.0
Meera visited the park in the evening.,ਮੀਰਾ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Riya lost her wallet. Riya became very worried.,ਰਿਆ ਦਾ ਬਟੂਆ ਗੁੰਮ ਹੋ ਗਿਆ। ਰਿਆ ਬਹੁਤ ਚਿੰਤਤ ਹੋ ਗਈ।,No text provided,0.0,0.0,0.0
Pooja went to school. Pooja was very happy.,ਪੂਜਾ ਸਕੂਲ ਗਿਆ। ਪੂਜਾ ਬਹੁਤ ਖੁਸ਼ ਸੀ।,No text provided,0.0,0.0,0.0
Rahul became angry when the bus arrived late.,ਰਾਹੁਲ ਬੱਸ ਦੇ ਦੇਰ ਨਾਲ ਆਉਣ ਕਾਰਨ ਗੁੱਸੇ ਹੋ ਗਿਆ।,No text provided,0.0,0.0,0.0
Neha visited the park in the evening.,ਨੇਹਾ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Aditya bought a new bag from the market.,ਆਦਿਤਿਆ ਨੇ ਬਾਜ਼ਾਰ ਤੋਂ ਨਵਾਂ ਥੈਲਾ ਖਰੀਦਿਆ।,No text provided,0.0,0.0,0.0
Ananya lost her wallet. Ananya became very worried.,ਅਨਨਿਆ ਦਾ ਬਟੂਆ ਗੁੰਮ ਹੋ ਗਿਆ। ਅਨਨਿਆ ਬਹੁਤ ਚਿੰਤਤ ਹੋ ਗਈ।,No text provided,0.0,0.0,0.0
Neha became angry when the bus arrived late.,ਨੇਹਾ ਬੱਸ ਦੇ ਦੇਰ ਨਾਲ ਆਉਣ ਕਾਰਨ ਗੁੱਸੇ ਹੋ ਗਿਆ।,No text provided,0.0,0.0,0.0
"Vikram said, 'It is raining cats and dogs outside.'","ਵਿਕਰਮ ਨੇ ਕਿਹਾ, 'ਬਾਹਰ ਬਹੁਤ ਤੇਜ਼ ਮੀਂਹ ਪੈ ਰਿਹਾ ਹੈ।'",No text provided,0.0,0.0,0.0
Sneha became angry when the bus arrived late.,ਸਨੇਹਾ ਬੱਸ ਦੇ ਦੇਰ ਨਾਲ ਆਉਣ ਕਾਰਨ ਗੁੱਸੇ ਹੋ ਗਿਆ।,No text provided,0.0,0.0,0.0
Sneha bought a new laptop from the market.,ਸਨੇਹਾ ਨੇ ਬਾਜ਼ਾਰ ਤੋਂ ਨਵਾਂ ਲੈਪਟਾਪ ਖਰੀਦਿਆ।,No text provided,0.0,0.0,0.0
Karan visited the park in the evening.,ਕਰਨ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Sourav visited the park in the evening.,ਸੌਰਵ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Rahul bought a new wallet from the market.,ਰਾਹੁਲ ਨੇ ਬਾਜ਼ਾਰ ਤੋਂ ਨਵਾਂ ਬਟੂਆ ਖਰੀਦਿਆ।,No text provided,0.0,0.0,0.0
Kavya visited the park in the evening.,ਕਾਵਿਆ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Riya bought a new bag from the market.,ਰਿਆ ਨੇ ਬਾਜ਼ਾਰ ਤੋਂ ਨਵਾਂ ਥੈਲਾ ਖਰੀਦਿਆ।,No text provided,0.0,0.0,0.0
Priya could not attend the party because Priya was not feeling well.,ਪ੍ਰਿਆ ਦੀ ਤਬੀਅਤ ਠੀਕ ਨਾ ਹੋਣ ਕਾਰਨ ਉਹ ਪਾਰਟੀ ਵਿੱਚ ਨਹੀਂ ਆ ਸਕਿਆ।,No text provided,0.0,0.0,0.0
Pooja went to school. Pooja was very happy.,ਪੂਜਾ ਸਕੂਲ ਗਿਆ। ਪੂਜਾ ਬਹੁਤ ਖੁਸ਼ ਸੀ।,No text provided,0.0,0.0,0.0
Karan visited the park in the evening.,ਕਰਨ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Aditya could not attend the party because Aditya was not feeling well.,ਆਦਿਤਿਆ ਦੀ ਤਬੀਅਤ ਠੀਕ ਨਾ ਹੋਣ ਕਾਰਨ ਉਹ ਪਾਰਟੀ ਵਿੱਚ ਨਹੀਂ ਆ ਸਕਿਆ।,No text provided,0.0,0.0,0.0
Karan visited the park in the evening.,ਕਰਨ ਸ਼ਾਮ ਨੂੰ ਪਾਰਕ ਗਿਆ।,No text provided,0.0,0.0,0.0
Neha adopted a horse. The horse followed Neha everywhere.,ਨੇਹਾ ਨੇ ਇੱਕ ਘੋੜਾ ਗੋਦ ਲਿਆ। ਉਹ ਨੇਹਾ ਦੇ ਪਿੱਛੇ ਹਰ ਜਗ੍ਹਾ ਗਿਆ।,No text provided,0.0,0.0,0.0
