input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Amit could not attend the party because Amit was not feeling well.,অমিত অসুস্থ অনুভৱ কৰাৰ বাবে পাৰ্টিত যোগ দিব নোৱাৰিলে।,No text provided,0.0,0.0,0.0
Meera lost her wallet. Meera became very worried.,মীৰা ৰ মানিবেগ হেৰাই গ'ল। মীৰা বহুত চিন্তিত হৈ পৰিল।,No text provided,0.0,0.0,0.0
Ananya bought a new book from the market.,অনন্যা বজাৰৰ পৰা নতুন কিতাপ কিনিলে।,No text provided,0.0,0.0,0.0
Arnab went to school. Arnab was very happy.,অৰ্ণব বিদ্যালয়লৈ গৈছিল। অৰ্ণব বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Vikram became angry when the bus arrived late.,বিক্ৰম বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Sourav became angry when the bus arrived late.,সৌৰভ বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Neha became angry when the bus arrived late.,নেহা বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Arnab went to school. Arnab was very happy.,অৰ্ণব বিদ্যালয়লৈ গৈছিল। অৰ্ণব বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Meera became angry when the bus arrived late.,মীৰা বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
"Vikram said, 'It is raining cats and dogs outside.'","বিক্ৰম কৈছিল, 'বাহিৰত বৰ ধাৰাসাৰ বৰষুণ হৈছে।'",No text provided,0.0,0.0,0.0
Meera heard the good news and smiled with joy.,মীৰা এ ভাল খবৰ শুনি হাঁহি মাৰিলে।,No text provided,0.0,0.0,0.0
Rohan went to school. Rohan was very happy.,ৰোহন বিদ্যালয়লৈ গৈছিল। ৰোহন বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Sneha bought a new bag from the market.,স্নেহা বজাৰৰ পৰা নতুন ব্যাগ কিনিলে।,No text provided,0.0,0.0,0.0
Arnab became angry when the bus arrived late.,অৰ্ণব বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Sourav went to school. Sourav was very happy.,সৌৰভ বিদ্যালয়লৈ গৈছিল। সৌৰভ বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Kavya visited the park in the evening.,কাব্য সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Riya bought a new laptop from the market.,ৰিয়া বজাৰৰ পৰা নতুন লেপটপ কিনিলে।,No text provided,0.0,0.0,0.0
Riya could not attend the party because Riya was not feeling well.,ৰিয়া অসুস্থ অনুভৱ কৰাৰ বাবে পাৰ্টিত যোগ দিব নোৱাৰিলে।,No text provided,0.0,0.0,0.0
"Kavya said, 'It is raining cats and dogs outside.'","কাব্য কৈছিল, 'বাহিৰত বৰ ধাৰাসাৰ বৰষুণ হৈছে।'",No text provided,0.0,0.0,0.0
Sneha went to school. Sneha was very happy.,স্নেহা বিদ্যালয়লৈ গৈছিল। স্নেহা বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Arnab felt scared after hearing the loud noise.,অৰ্ণব ডাঙৰ শব্দ শুনি ভয় পাইছিল।,No text provided,0.0,0.0,0.0
Meera visited the park in the evening.,মীৰা সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Kavya bought a new phone from the market.,কাব্য বজাৰৰ পৰা নতুন ফোন কিনিলে।,No text provided,0.0,0.0,0.0
Amit adopted a rabbit. The rabbit followed Amit everywhere.,অমিত এ এটা খৰগোশ পোহনীয়া হিচাপে ল'লে। সেই খৰগোশ টোৱে অমিত ক সকলো ঠাইতে অনুসৰণ কৰিছিল।,No text provided,0.0,0.0,0.0
Rohan became angry when the bus arrived late.,ৰোহন বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Ananya visited the park in the evening.,অনন্যা সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Sneha bought a new book from the market.,স্নেহা বজাৰৰ পৰা নতুন কিতাপ কিনিলে।,No text provided,0.0,0.0,0.0
Meera bought a new wallet from the market.,মীৰা বজাৰৰ পৰা নতুন মানিবেগ কিনিলে।,No text provided,0.0,0.0,0.0
Sneha bought a new phone from the market.,স্নেহা বজাৰৰ পৰা নতুন ফোন কিনিলে।,No text provided,0.0,0.0,0.0
Kavya visited the park in the evening.,কাব্য সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Rahul heard the good news and smiled with joy.,ৰাহুল এ ভাল খবৰ শুনি হাঁহি মাৰিলে।,No text provided,0.0,0.0,0.0
Riya visited the park in the evening.,ৰিয়া সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Sourav went to school. Sourav was very happy.,সৌৰভ বিদ্যালয়লৈ গৈছিল। সৌৰভ বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Amit visited the park in the evening.,অমিত সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Pooja visited the park in the evening.,পূজা সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Sourav felt scared after hearing the loud noise.,সৌৰভ ডাঙৰ শব্দ শুনি ভয় পাইছিল।,No text provided,0.0,0.0,0.0
Ananya adopted a dog. The dog followed Ananya everywhere.,অনন্যা এ এটা কুকুৰ পোহনীয়া হিচাপে ল'লে। সেই কুকুৰ টোৱে অনন্যা ক সকলো ঠাইতে অনুসৰণ কৰিছিল।,No text provided,0.0,0.0,0.0
Riya became angry when the bus arrived late.,ৰিয়া বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Arnab could not attend the party because Arnab was not feeling well.,অৰ্ণব অসুস্থ অনুভৱ কৰাৰ বাবে পাৰ্টিত যোগ দিব নোৱাৰিলে।,No text provided,0.0,0.0,0.0
the workers visited the zoo. the workers enjoyed watching the animals.,শ্ৰমিকসকল চিৰিয়াখানালৈ গৈছিল। শ্ৰমিকসকল জন্তুবোৰ চাই আনন্দ পাইছিল।,No text provided,0.0,0.0,0.0
Ananya visited the park in the evening.,অনন্যা সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Karan bought a new laptop from the market.,কৰণ বজাৰৰ পৰা নতুন লেপটপ কিনিলে।,No text provided,0.0,0.0,0.0
Karan could not attend the party because Karan was not feeling well.,কৰণ অসুস্থ অনুভৱ কৰাৰ বাবে পাৰ্টিত যোগ দিব নোৱাৰিলে।,No text provided,0.0,0.0,0.0
Rohan adopted a dog. The dog followed Rohan everywhere.,ৰোহন এ এটা কুকুৰ পোহনীয়া হিচাপে ল'লে। সেই কুকুৰ টোৱে ৰোহন ক সকলো ঠাইতে অনুসৰণ কৰিছিল।,No text provided,0.0,0.0,0.0
Meera lost her wallet. Meera became very worried.,মীৰা ৰ মানিবেগ হেৰাই গ'ল। মীৰা বহুত চিন্তিত হৈ পৰিল।,No text provided,0.0,0.0,0.0
Sourav visited the park in the evening.,সৌৰভ সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Riya visited the park in the evening.,ৰিয়া সন্ধিয়া উদ্যানলৈ গৈছিল।,No text provided,0.0,0.0,0.0
Rahul went to school. Rahul was very happy.,ৰাহুল বিদ্যালয়লৈ গৈছিল। ৰাহুল বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Rahul felt scared after hearing the loud noise.,ৰাহুল ডাঙৰ শব্দ শুনি ভয় পাইছিল।,No text provided,0.0,0.0,0.0
the players visited the zoo. the players enjoyed watching the animals.,খেলুৱৈসকল চিৰিয়াখানালৈ গৈছিল। খেলুৱৈসকল জন্তুবোৰ চাই আনন্দ পাইছিল।,No text provided,0.0,0.0,0.0
Rahul went to school. Rahul was very happy.,ৰাহুল বিদ্যালয়লৈ গৈছিল। ৰাহুল বহুত সুখী আছিল।,No text provided,0.0,0.0,0.0
Priya became angry when the bus arrived late.,প্ৰিয়া বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
Arnab became angry when the bus arrived late.,অৰ্ণব বাছ দেৰিতে অহাত খং উঠিছিল।,No text provided,0.0,0.0,0.0
