input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Karan could not attend the party because Karan was not feeling well.,करण पार्टी में शामिल नहीं हो सका क्योंकि उसकी तबीयत ठीक नहीं थी।,No text provided,0.0,0.0,0.0
Amit adopted a cat. The cat followed Amit everywhere.,अमित ने एक बिल्ली अपनाया। बिल्ली अमित के पीछे हर जगह गया।,No text provided,0.0,0.0,0.0
Pooja heard the good news and smiled with joy.,पूजा ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
the workers visited the zoo. the workers enjoyed watching the animals.,मजदूर चिड़ियाघर गए। मजदूर ने जानवरों को देखकर आनंद लिया।,No text provided,0.0,0.0,0.0
Amit heard the good news and smiled with joy.,अमित ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
Neha went to school. Neha was very happy.,नेहा स्कूल गया। नेहा बहुत खुश था।,No text provided,0.0,0.0,0.0
Rahul became angry when the bus arrived late.,राहुल बस के देर से आने पर गुस्सा हो गया।,No text provided,0.0,0.0,0.0
Riya heard the good news and smiled with joy.,रिया ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
Amit could not attend the party because Amit was not feeling well.,अमित पार्टी में शामिल नहीं हो सका क्योंकि उसकी तबीयत ठीक नहीं थी।,No text provided,0.0,0.0,0.0
"Neha said, 'It is raining cats and dogs outside.'","नेहा ने कहा, 'बाहर मूसलाधार बारिश हो रही है।'",No text provided,0.0,0.0,0.0
Meera became angry when the bus arrived late.,मीरा बस के देर से आने पर गुस्सा हो गया।,No text provided,0.0,0.0,0.0
"Priya said, 'It is raining cats and dogs outside.'","प्रिया ने कहा, 'बाहर मूसलाधार बारिश हो रही है।'",No text provided,0.0,0.0,0.0
Aditya felt scared after hearing the loud noise.,आदित्य तेज आवाज सुनकर डर गया।,No text provided,0.0,0.0,0.0
the players visited the zoo. the players enjoyed watching the animals.,खिलाड़ी चिड़ियाघर गए। खिलाड़ी ने जानवरों को देखकर आनंद लिया।,No text provided,0.0,0.0,0.0
Karan became angry when the bus arrived late.,करण बस के देर से आने पर गुस्सा हो गया।,No text provided,0.0,0.0,0.0
the children visited the zoo. the children enjoyed watching the animals.,बच्चे चिड़ियाघर गए। बच्चे ने जानवरों को देखकर आनंद लिया।,No text provided,0.0,0.0,0.0
Kavya went to school. Kavya was very happy.,काव्या स्कूल गया। काव्या बहुत खुश था।,No text provided,0.0,0.0,0.0
Amit felt scared after hearing the loud noise.,अमित तेज आवाज सुनकर डर गया।,No text provided,0.0,0.0,0.0
Vikram adopted a rabbit. The rabbit followed Vikram everywhere.,विक्रम ने एक खरगोश अपनाया। खरगोश विक्रम के पीछे हर जगह गया।,No text provided,0.0,0.0,0.0
Riya heard the good news and smiled with joy.,रिया ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
Sourav heard the good news and smiled with joy.,सौरव ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
Priya adopted a horse. The horse followed Priya everywhere.,प्रिया ने एक घोड़ा अपनाया। घोड़ा प्रिया के पीछे हर जगह गया।,No text provided,0.0,0.0,0.0
Ananya heard the good news and smiled with joy.,अनन्या ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
Pooja lost her wallet. Pooja became very worried.,पूजा का बटुआ खो गया। पूजा बहुत चिंतित हो गई।,No text provided,0.0,0.0,0.0
Pooja lost her wallet. Pooja became very worried.,पूजा का बटुआ खो गया। पूजा बहुत चिंतित हो गई।,No text provided,0.0,0.0,0.0
Rohan could not attend the party because Rohan was not feeling well.,रोहन पार्टी में शामिल नहीं हो सका क्योंकि उसकी तबीयत ठीक नहीं थी।,No text provided,0.0,0.0,0.0
Sneha went to school. Sneha was very happy.,स्नेहा स्कूल गया। स्नेहा बहुत खुश था।,No text provided,0.0,0.0,0.0
Sneha went to school. Sneha was very happy.,स्नेहा स्कूल गया। स्नेहा बहुत खुश था।,No text provided,0.0,0.0,0.0
Neha lost her wallet. Neha became very worried.,नेहा का बटुआ खो गया। नेहा बहुत चिंतित हो गई।,No text provided,0.0,0.0,0.0
Sourav went to school. Sourav was very happy.,सौरव स्कूल गया। सौरव बहुत खुश था।,No text provided,0.0,0.0,0.0
Riya bought a new laptop from the market.,रिया ने बाजार से एक नया लैपटॉप खरीदा।,No text provided,0.0,0.0,0.0
Ananya heard the good news and smiled with joy.,अनन्या ने अच्छी खबर सुनी और खुशी से मुस्कुराया।,No text provided,0.0,0.0,0.0
Rahul felt scared after hearing the loud noise.,राहुल तेज आवाज सुनकर डर गया।,No text provided,0.0,0.0,0.0
Pooja felt scared after hearing the loud noise.,पूजा तेज आवाज सुनकर डर गया।,No text provided,0.0,0.0,0.0
