input,expected_resolved,should_resolve,target_language
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,hindi
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,bengali
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,tamil
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,telugu
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,marathi
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,gujarati
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,kannada
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,malayalam
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,punjabi
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,odia
Rahul went home. He slept early.,Rahul went home. Rahul slept early.,True,assamese
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,hindi
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,bengali
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,tamil
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,telugu
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,marathi
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,gujarati
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,kannada
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,malayalam
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,punjabi
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,odia
Priya bought a dress. She wore it to the party.,Priya bought a dress. Priya wore it to the party.,True,assamese
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,hindi
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,bengali
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,tamil
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,telugu
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,marathi
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,gujarati
Arjun dropped his phone. He picked it up quickly.,Arjun dropped his phone. Arjun picked it up quickly.,True,kannada
