input,ground_truth,model_output,bleu_score,chrf_score,bertscore_f1
Kavya bought a new book from the market.,കാവ്യ മാർക്കറ്റിൽ നിന്ന് പുതിയ പുസ്തകം വാങ്ങി.,No text provided,0.0,0.0,0.0
"Rahul said, 'It is raining cats and dogs outside.'","റാഹുൽ പറഞ്ഞു, 'പുറത്ത് കനത്ത മഴ പെയ്യുന്നു.'",No text provided,0.0,0.0,0.0
Amit visited the park in the evening.,അമിത് വൈകുന്നേരം പാർക്കിൽ പോയി.,No text provided,0.0,0.0,0.0
Karan could not attend the party because Karan was not feeling well.,കരൺ ആരോഗ്യ പ്രശ്നം കാരണം പാർട്ടിയിൽ പങ്കെടുക്കാനായില്ല.,No text provided,0.0,0.0,0.0
the players visited the zoo. the players enjoyed watching the animals.,കളിക്കാർ മൃഗശാല സന്ദർശിച്ചു. കളിക്കാർ മൃഗങ്ങളെ കണ്ടു സന്തോഷിച്ചു.,No text provided,0.0,0.0,0.0
Sneha felt scared after hearing the loud noise.,സ്നേഹ വലിയ ശബ്ദം കേട്ട് ഭയപ്പെട്ടു.,No text provided,0.0,0.0,0.0
Arnab lost her wallet. Arnab became very worried.,അർണബ് തന്റെ പേഴ്സ് നഷ്ടപ്പെടുത്തി. അർണബ് വളരെ ആശങ്കപ്പെട്ടു.,No text provided,0.0,0.0,0.0
Pooja felt scared after hearing the loud noise.,പൂജ വലിയ ശബ്ദം കേട്ട് ഭയപ്പെട്ടു.,No text provided,0.0,0.0,0.0
Aditya lost her wallet. Aditya became very worried.,ആദിത്യ തന്റെ പേഴ്സ് നഷ്ടപ്പെടുത്തി. ആദിത്യ വളരെ ആശങ്കപ്പെട്ടു.,No text provided,0.0,0.0,0.0
the players visited the zoo. the players enjoyed watching the animals.,കളിക്കാർ മൃഗശാല സന്ദർശിച്ചു. കളിക്കാർ മൃഗങ്ങളെ കണ്ടു സന്തോഷിച്ചു.,No text provided,0.0,0.0,0.0
Aditya bought a new wallet from the market.,ആദിത്യ മാർക്കറ്റിൽ നിന്ന് പുതിയ പേഴ്സ് വാങ്ങി.,No text provided,0.0,0.0,0.0
Ananya went to school. Ananya was very happy.,അനന്യ സ്കൂളിൽ പോയി. അനന്യ വളരെ സന്തോഷത്തിലായിരുന്നു.,No text provided,0.0,0.0,0.0
Rohan went to school. Rohan was very happy.,റോഹൻ സ്കൂളിൽ പോയി. റോഹൻ വളരെ സന്തോഷത്തിലായിരുന്നു.,No text provided,0.0,0.0,0.0
Arnab went to school. Arnab was very happy.,അർണബ് സ്കൂളിൽ പോയി. അർണബ് വളരെ സന്തോഷത്തിലായിരുന്നു.,No text provided,0.0,0.0,0.0
Aditya lost her wallet. Aditya became very worried.,ആദിത്യ തന്റെ പേഴ്സ് നഷ്ടപ്പെടുത്തി. ആദിത്യ വളരെ ആശങ്കപ്പെട്ടു.,No text provided,0.0,0.0,0.0
Vikram could not attend the party because Vikram was not feeling well.,വിക്രം ആരോഗ്യ പ്രശ്നം കാരണം പാർട്ടിയിൽ പങ്കെടുക്കാനായില്ല.,No text provided,0.0,0.0,0.0
